"Organisation Code","Name","National Grouping","Higher Level Health Geography","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Open Date","Close Date","Column 13","Column 14","Column 15","Column 16","Column 17","Contact Telephone Number","Column 19","Column 20","Column 21","Amended Record Indicator","Column 23","GOR Code","Column 25","Column 26","Column 27"
"R0A","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","Y62","QOP","COBBETT HOUSE","OXFORD ROAD","","MANCHESTER","","M13 9WL","20171001","","","","","","","0300 3309444","","","","1","","B","","",""
"R0B","SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST","Y63","QHM","SUNDERLAND ROYAL HOSPITAL","KAYLL ROAD","","SUNDERLAND","","SR4 7TP","20190401","","","","","","","","","","","1","","A","","",""
"R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST","Y58","QVV","MANAGEMENT OFFICES","POOLE HOSPITAL","LONGFLEET ROAD","POOLE","","BH15 2JB","20201001","","","","","","","","","","","1","","K","","",""
"R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST","Y60","QGH","UNIT 2 KINGS COURT","CHARLES HASTINGS WAY","","WORCESTER","","WR5 1JR","20110701","","","","","","","","","","","1","","F","","",""
"R1C","SOLENT NHS TRUST","Y59","QRL","SOLENT NHS TRUST HEADQUARTERS","HIGHPOINT VENUE","BURSLEDON ROAD","SOUTHAMPTON","","SO19 8BR","20110401","","","","","","","","","","","1","","J","","",""
"R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","Y60","QOC","WILLIAM FARR HOUSE","MYTTON OAK ROAD","","SHREWSBURY","","SY3 8XL","20110701","","","","","","","01743 277500","","","","1","","F","","",""
"R1F","ISLE OF WIGHT NHS TRUST","Y59","QRL","ST MARYS HOSPITAL","PARKHURST ROAD","","NEWPORT","","PO30 5TG","20120401","","","","","","","","","","","1","","J","","",""
"R1H","BARTS HEALTH NHS TRUST","Y56","QMF","THE ROYAL LONDON HOSPITAL","80 NEWARK STREET","","LONDON","","E1 2ES","20120401","","","","","","","","","","","1","","H","","",""
"R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST","Y56","QRV","NORTHWICK PARK HOSPITAL","WATFORD ROAD","","HARROW","","HA1 3UJ","20141001","","","","","","","","","","","1","","H","","",""
"R1L","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","Y61","QH8","THE LODGE","LODGE APPROACH","RUNWELL","WICKFORD","","SS11 7XX","20170401","","","","","","","","","","","1","","G","","",""
"RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","Y59","QXU","EGERTON ROAD","","","GUILDFORD","","GU2 7XX","19910401","","","","","","","01483 571122","","","","1","","J","","",""
"RA4","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","Y58","QSL","YEOVIL DISTRICT HOSPITAL","HIGHER KINGSTON","","YEOVIL","","BA21 4AT","19910401","20230331","","","","","","01935 475122","","","","1","","K","","",""
"RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST","Y58","QUY","TRUST HEADQUARTERS","MARLBOROUGH STREET","","BRISTOL","","BS1 3NU","19910401","","","","","","","","","","","1","","K","","",""
"RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","Y58","QJK","TORBAY HOSPITAL","NEWTON ROAD","","TORQUAY","","TQ2 7AA","19910401","","","","","","","01803 614567","","","","1","","K","","",""
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QWO","BRADFORD ROYAL INFIRMARY","DUCKWORTH LANE","","BRADFORD","","BD9 6RJ","19910401","","","","","","","","","","","1","","D","","",""
"RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST","Y61","QH8","PRITTLEWELL CHASE","","","WESTCLIFF-ON-SEA","","SS0 0RY","19910401","","","","","","","01702 435555","","","","1","","G","","",""
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","Y56","QMJ","ROYAL FREE HOSPITAL","POND STREET","","LONDON","","NW3 2QG","19910401","","","","","","","","","","","1","","H","","",""
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","Y56","QRV","BROCKLEY HILL","","","STANMORE","","HA7 4LP","19910401","","","","","","","","","","","1","","H","","",""
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Y56","QMJ","NORTH MIDDLESEX HOSPITAL","STERLING WAY","","LONDON","","N18 1QX","19910401","","","","","","","","","","","1","","H","","",""
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","Y56","QRV","PIELD HEATH ROAD","","","UXBRIDGE","","UB8 3NN","19910401","","","","","","","01895 238282","","","","1","","H","","",""
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","Y56","QMF","WEST WING","C E M E CENTRE","MARSH WAY","RAINHAM","","RM13 8GQ","20010401","","","","","","","","","","","1","","H","","",""
"RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST","Y56","QWE","GALSWORTHY ROAD","","","KINGSTON UPON THAMES","","KT2 7QB","19910401","","","","","","","","","","","1","","H","","",""
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","Y58","QVV","DORSET COUNTY HOSPITAL","WILLIAMS AVENUE","","DORCHESTER","","DT1 2JY","19910401","","","","","","","01305 251150","","","","1","","K","","",""
"RBK","WALSALL HEALTHCARE NHS TRUST","Y60","QUA","MANOR HOSPITAL","MOAT ROAD","","WALSALL","","WS2 9PS","19910401","","","","","","","01922 721172","","","","1","","F","","",""
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","ARROWE PARK HOSPITAL","ARROWE PARK ROAD","UPTON","WIRRAL","","CH49 5PE","19910401","","","","","","","","","","","1","","B","","",""
"RBN","MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST","Y62","QYG","WHISTON HOSPITAL","WARRINGTON ROAD","","PRESCOT","","L35 5DR","19910401","","","","","","","","","","","1","","B","","",""
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","THOMAS DRIVE","","","LIVERPOOL","","L14 3PE","19910401","","","","","","","","","","","1","","B","","",""
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","Y62","QYG","ALDER HEY HOSPITAL","EATON ROAD","WEST DERBY","LIVERPOOL","","L12 2AP","19910401","","","","","","","","","","","1","","B","","",""
"RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","Y62","QYG","LEIGHTON HOSPITAL","LEIGHTON","","CREWE","","CW1 4QJ","19910401","","","","","","","01270 255141","","","","1","","B","","",""
"RBV","THE CHRISTIE NHS FOUNDATION TRUST","Y62","QOP","550 WILMSLOW ROAD","WITHINGTON","","MANCHESTER","","M20 4BX","19910401","","","","","","","","","","","1","","B","","",""
"RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","Y58","QJK","NORTH DEVON DISTRICT HOSPITAL","RALEIGH PARK","","BARNSTAPLE","","EX31 4JB","19910401","20220331","","","","","","01271 322577","","","","1","","K","","",""
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Y61","QHG","LEWSEY ROAD","","","LUTON","","LU4 0DZ","19920401","","","","","","","01582 491166","","","","1","","G","","",""
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QOQ","YORK HOSPITAL","WIGGINTON ROAD","","YORK","","YO31 8HE","19920401","","","","","","","01904 631313","","","","1","","D","","",""
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","Y63","QOQ","HARROGATE DISTRICT HOSPITAL","LANCASTER PARK ROAD","","HARROGATE","","HG2 7SX","19920401","","","","","","","01423 885959","","","","1","","D","","",""
"RCF","AIREDALE NHS FOUNDATION TRUST","Y63","QWO","AIREDALE GENERAL HOSPITAL","SKIPTON ROAD","STEETON","KEIGHLEY","","BD20 6TD","19920401","","","","","","","01535 652511","","","","1","","D","","",""
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","Y63","QF7","WESTERN BANK","","","SHEFFIELD","","S10 2TH","19920401","","","","","","","","","","","1","","D","","",""
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","Y61","QMM","QUEEN ELIZABETH HOSPITAL","GAYTON ROAD","","KING'S LYNN","","PE30 4ET","19920401","","","","","","","01553 613613","","","","1","","G","","",""
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","Y58","QOX","COMBE PARK","","","BATH","","BA1 3NG","19920401","","","","","","","01225 428331","","","","1","","K","","",""
"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST","Y58","QVV","LONGFLEET ROAD","","","POOLE","","BH15 2JB","19920401","20200930","","","","","","01202 665511","","","","1","","K","","",""
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","Y61","QHG","STANDING WAY","EAGLESTONE","","MILTON KEYNES","","MK6 5LD","19920401","","","","","","","01908 660033","","","","1","","J","","",""
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","Y61","QJG","COLCHESTER DIST GENERAL HOSPITAL","TURNER ROAD","","COLCHESTER","","CO4 5JL","19920401","","","","","","","01206 747474","","","","1","","G","","",""
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST","Y59","QNX","BRIGHTON GENERAL HOSPITAL","ELM GROVE","","BRIGHTON","","BN2 3EW","19920401","","","","","","","01273 696011","","","","1","","J","","",""
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST","Y59","QNQ","PORTSMOUTH ROAD","FRIMLEY","","CAMBERLEY","","GU16 7UJ","19920401","","","","","","","01276 604604","","","","1","","J","","",""
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Y58","QVV","SENTINEL HOUSE","4-6 NUFFIELD ROAD","NUFFIELD INDUSTRIAL ESTATE","POOLE","","BH17 0RB","19920401","","","","","","","01202 277000","","","","1","","K","","",""
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","Y58","QVV","ROYAL BOURNEMOUTH GENERAL HOSPITAL","CASTLE LANE EAST","","BOURNEMOUTH","","BH7 7DW","19920401","20200930","","","","","","01202 303626","","","","1","","K","","",""
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST","Y58","QT6","ROYAL CORNWALL HOSPITAL","TRELISKE","","TRURO","","TR1 3LJ","19920401","","","","","","","01872 250000","","","","1","","K","","",""
"REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y62","QYG","ROYAL LIVERPOOL UNIVERSITY HOSPITAL","PRESCOT STREET","","LIVERPOOL","","L7 8XP","19920401","","","","","","","","","","","1","","B","","",""
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","Y62","QYG","CLATTERBRIDGE HOSPITAL","CLATTERBRIDGE ROAD","BEBINGTON","WIRRAL","","CH63 4JY","19920401","","","","","","","","","","","1","","B","","",""
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","Y62","QYG","LIVERPOOL WOMENS HOSPITAL","CROWN STREET","","LIVERPOOL","","L8 7SS","19920401","","","","","","","","","","","1","","B","","",""
"RET","THE WALTON CENTRE NHS FOUNDATION TRUST","Y62","QYG","LOWER LANE","","","LIVERPOOL","","L9 7LJ","19920401","","","","","","","","","","","1","","B","","",""
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","Y56","QMF","QUEENS HOSPITAL","ROM VALLEY WAY","","ROMFORD","","RM7 0AG","20010401","","","","","","","","","","","1","","H","","",""
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","Y63","QF7","GAWBER ROAD","","","BARNSLEY","","S75 2EP","19930401","","","","","","","01226 730000","","","","1","","D","","",""
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST","Y63","QF7","MOORGATE ROAD","","","ROTHERHAM","","S60 2UD","19930401","","","","","","","01709 820000","","","","1","","D","","",""
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","Y60","QJ2","CHESTERFIELD ROAD","CALOW","","CHESTERFIELD","","S44 5BL","19930401","","","","","","","01246 277271","","","","1","","E","","",""
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","Y63","QWO","ST. MARYS HOUSE","ST. MARYS ROAD","","LEEDS","","LS7 3JX","19930401","","","","","","","0113 8555000","","","","1","","D","","",""
"RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","Y61","QUE","PAPWORTH ROAD","CAMBRIDGE BIOMEDICAL CAMPUS","","CAMBRIDGE","","CB2 0AY","19930401","","","","","","","01223 638000","","","","1","","G","","",""
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST","Y61","QUE","PETERBOROUGH CITY HOSPITAL","BRETTON GATE","BRETTON","PETERBOROUGH","","PE3 9GZ","19930401","","","","","","","01733 874000","","","","1","","G","","",""
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","QMM","LOWESTOFT ROAD","GORLESTON","","GREAT YARMOUTH","","NR31 6LA","19930401","","","","","","","01493 452452","","","","1","","G","","",""
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST","Y61","QJG","WEST SUFFOLK HOSPITAL","HARDWICK LANE","","BURY ST. EDMUNDS","","IP33 2QZ","19930401","","","","","","","01284 713000","","","","1","","G","","",""
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","QUE","CAMBRIDGE BIOMEDICAL CAMPUS","HILLS ROAD","","CAMBRIDGE","","CB2 0QQ","19930401","","","","","","","01223 245151","","","","1","","G","","",""
"RH5","SOMERSET NHS FOUNDATION TRUST","Y58","QSL","TRUST MANAGEMENT","LYDEARD HOUSE","MUSGROVE PARK HOSPITAL","TAUNTON","","TA1 5DA","19930401","","","","","","","01278 432000","","","","1","","K","","",""
"RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST","Y58","QJK","ROYAL DEVON UNIVERSITY NHS FT","BARRACK ROAD","","EXETER","","EX2 5DW","19930401","","","","","","","01392 411611","","","","1","","K","","",""
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","Y60","QT1","THE RESOURCE, TRUST HQ","DUNCAN MACMILLAN HOUSE","PORCHESTER ROAD","NOTTINGHAM","","NG3 6AA","20010401","","","","","","","","","","","1","","E","","",""
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","Y59","QRL","SOUTHAMPTON GENERAL HOSPITAL","TREMONA ROAD","","SOUTHAMPTON","","SO16 6YD","19930401","","","","","","","","","","","1","","J","","",""
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QF7","NORTHERN GENERAL HOSPITAL","HERRIES ROAD","","SHEFFIELD","","S5 7AU","20010401","","","","","","","","","","","1","","D","","",""
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST","Y59","QRL","QUEEN ALEXANDRA HOSPITAL","SOUTHWICK HILL ROAD","COSHAM","PORTSMOUTH","","PO6 3LY","19930401","","","","","","","","","","","1","","J","","",""
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","Y59","QU9","ROYAL BERKSHIRE HOSPITAL","LONDON ROAD","","READING","","RG1 5AN","19930401","","","","","","","","","","","1","","J","","",""
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Y56","QKK","ST THOMAS' HOSPITAL","WESTMINSTER BRIDGE ROAD","","LONDON","","SE1 7EH","19930401","","","","","","","","","","","1","","H","","",""
"RJ2","LEWISHAM AND GREENWICH NHS TRUST","Y56","QKK","UNIVERSITY HOSPITAL LEWISHAM","LEWISHAM HIGH STREET","","LONDON","","SE13 6LH","19930401","","","","","","","","","","","1","","H","","",""
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","Y56","QWE","CROYDON UNIVERSITY HOSPITAL","530 LONDON ROAD","","THORNTON HEATH","","CR7 7YE","19930401","","","","","","","","","","","1","","H","","",""
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y56","QWE","ST GEORGE'S HOSPITAL","BLACKSHAW ROAD","TOOTING","LONDON","","SW17 0QT","19930401","","","","","","","","","","","1","","H","","",""
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","Y58","QT6","CAREW HOUSE","BEACON TECHNOLOGY PARK","DUNMERE ROAD","BODMIN","CORNWALL","PL31 2QN","19930401","","","","","","","01208 834600","","","","1","","K","","",""
"RJC","SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST","Y60","QWU","WARWICK HOSPITAL","LAKIN ROAD","","WARWICK","","CV34 5BW","19930401","","","","","","","01926 495321","","","","1","","F","","",""
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","Y60","QNC","NEWCASTLE ROAD","","","STOKE-ON-TRENT","","ST4 6QG","19930401","","","","","","","01782 715444","","","","1","","F","","",""
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","Y63","QOQ","DIANA PRINCESS OF WALES HOSPITAL","SCARTHO ROAD","","GRIMSBY","","DN33 2BA","20010401","","","","","","","01472 874111","","","","1","","D","","",""
"RJN","EAST CHESHIRE NHS TRUST","Y62","QYG","MACCLESFIELD DISTRICT HOSPITAL","VICTORIA ROAD","","MACCLESFIELD","","SK10 3BL","19930401","","","","","","","01625 661449","","","","1","","B","","",""
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","COUNTESS OF CHESTER HEALTH PARK","LIVERPOOL ROAD","","CHESTER","","CH2 1UL","19930401","","","","","","","01244 365000","","","","1","","B","","",""
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","Y56","QKK","DENMARK HILL","","","LONDON","","SE5 9RS","19930401","","","","","","","","","","","1","","H","","",""
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","Y60","QT1","KINGS MILL HOSPITAL","MANSFIELD ROAD","","SUTTON-IN-ASHFIELD","","NG17 4JL","19940401","","","","","","","01623 622515","","","","1","","E","","",""
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","Y58","QJK","DERRIFORD HOSPITAL","DERRIFORD ROAD","DERRIFORD","PLYMOUTH","","PL6 8DH","19940401","","","","","","","01752 202082","","","","1","","K","","",""
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","Y60","QWU","WALSGRAVE GENERAL HOSPITAL","CLIFFORD BRIDGE ROAD","","COVENTRY","","CV2 2DX","19930401","","","","","","","","","","","1","","F","","",""
"RKE","WHITTINGTON HEALTH NHS TRUST","Y56","QMJ","THE WHITTINGTON HOSPITAL","MAGDALA AVENUE","","LONDON","","N19 5NF","19930401","","","","","","","","","","","1","","H","","",""
"RKL","WEST LONDON NHS TRUST","Y56","QRV","1 ARMSTRONG WAY","","","SOUTHALL","","UB2 4SD","20010401","","","","","","","","","","","1","","H","","",""
"RL1","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","Y60","QOC","GOBOWEN","","","OSWESTRY","","SY10 7AG","19940401","","","","","","","01691 404000","","","","1","","F","","",""
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST","Y60","QUA","NEW CROSS HOSPITAL","WOLVERHAMPTON ROAD","HEATH TOWN","WOLVERHAMPTON","","WV10 0QP","19940401","","","","","","","01902 307999","","","","1","","F","","",""
"RLQ","WYE VALLEY NHS TRUST","Y60","QGH","COUNTY HOSPITAL","27 UNION WALK","","HEREFORD","","HR1 2ER","19940401","","","","","","","01432 355444","","","","1","","F","","",""
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST","Y60","QWU","LEWES HOUSE","COLLEGE STREET","","NUNEATON","","CV10 7DJ","19940401","","","","","","","","","","","1","","F","","",""
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","Y60","QNC","LAWTON HOUSE","BELLRINGER ROAD","TRENTHAM","STOKE-ON-TRENT","","ST4 8HH","19940401","","","","","","","","","","","1","","F","","",""
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","QMM","COLNEY LANE","COLNEY","","NORWICH","","NR4 7UY","19940401","","","","","","","01603 286286","","","","1","","G","","",""
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST","Y62","QOP","SALFORD ROYAL","STOTT LANE","","SALFORD","GREATER MANCHESTER","M6 8HD","19940401","","","","","","","","","","","1","","B","","",""
"RMC","BOLTON NHS FOUNDATION TRUST","Y62","QOP","THE ROYAL BOLTON HOSPITAL","MINERVA ROAD","FARNWORTH","BOLTON","","BL4 0JR","19940401","","","","","","","01204 390390","","","","1","","B","","",""
"RMP","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","Y62","QOP","TAMESIDE GENERAL HOSPITAL","FOUNTAIN STREET","","ASHTON-UNDER-LYNE","","OL6 9RW","19940401","","","","","","","","","","","1","","B","","",""
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","Y61","QMM","HELLESDON HOSPITAL","DRAYTON HIGH ROAD","","NORWICH","NORFOLK","NR6 5BE","19940401","","","","","","","01603 421421","","","","1","","G","","",""
"RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","Y58","QOX","GREAT WESTERN HOSPITAL","MARLBOROUGH ROAD","","SWINDON","","SN3 6BB","19940401","","","","","","","01793 604020","","","","1","","K","","",""
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","Y59","QRL","BASINGSTOKE AND NORTH HAMPSHIRE HOS","ALDERMASTON ROAD","","BASINGSTOKE","HAMPSHIRE","RG24 9NA","19940401","","","","","","","01256 473202","","","","1","","J","","",""
"RN7","DARTFORD AND GRAVESHAM NHS TRUST","Y59","QKS","DARENT VALLEY HOSPITAL","DARENTH WOOD ROAD","","DARTFORD","","DA2 8DA","19940401","","","","","","","01322 428100","","","","1","","J","","",""
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST","Y60","QUA","RUSSELLS HALL HOSPITAL","PENSNETT ROAD","","DUDLEY","","DY1 2HQ","19940401","","","","","","","01384 456111","","","","1","","F","","",""
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","Y56","QMJ","THE TAVISTOCK CENTRE","120 BELSIZE LANE","","LONDON","","NW3 5BA","19940401","","","","","","","","","","","1","","H","","",""
"RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST","Y63","QHM","PILLARS BUILDING","CUMBERLAND INFIRMARY","INFIRMARY STREET","CARLISLE","","CA2 7HY","20010401","","","","","","","01228 602000","","","","1","","B","","",""
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","Y60","QPM","ROTHWELL ROAD","","","KETTERING","","NN16 8UZ","19940401","","","","","","","01536 492000","","","","1","","E","","",""
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","Y60","QPM","CLIFTONVILLE","","","NORTHAMPTON","","NN1 5BD","19940401","","","","","","","01604 634700","","","","1","","E","","",""
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST","Y59","QU9","WARNEFORD HOSPITAL","WARNEFORD LANE","HEADINGTON","OXFORD","","OX3 7JX","19940401","","","","","","","01865 901000","","","","1","","J","","",""
"RNZ","SALISBURY NHS FOUNDATION TRUST","Y58","QOX","SALISBURY DISTRICT HOSPITAL","ODSTOCK ROAD","","SALISBURY","","SP2 8BJ","19940401","","","","","","","01722 336262","","","","1","","K","","",""
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","Y60","QPM","ST MARYS HOSPITAL","77 LONDON ROAD","","KETTERING","","NN15 7PW","20010401","","","","","","","01536 410141","","","","1","","E","","",""
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","Y56","QMJ","GREAT ORMOND STREET","","","LONDON","","WC1N 3JH","19940401","","","","","","","","","","","1","","H","","",""
"RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QF7","DONCASTER ROYAL INFIRMARY","ARMTHORPE ROAD","","DONCASTER","","DN2 5LT","20010401","","","","","","","01302 366666","","","","1","","D","","",""
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","Y56","QMJ","162 CITY ROAD","","","LONDON","","EC1V 2PD","19940401","","","","","","","","","","","1","","H","","",""
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST","Y60","QJM","ST GEORGE'S","LONG LEYS ROAD","","LINCOLN","","LN1 1FS","20010401","","","","","","","01522 309200","","","","1","","E","","",""
"RPA","MEDWAY NHS FOUNDATION TRUST","Y59","QKS","MEDWAY MARITIME HOSPITAL","WINDMILL ROAD","","GILLINGHAM","","ME7 5NY","19940401","","","","","","","01634 830000","","","","1","","J","","",""
