shower;ra;dec;day;month
ACE;198;-57;28;1
ACE;200;-57;30;1
ACE;208;-59;5;2
ACE;214;-60;10;2
ACE;220;-62;15;2
ACE;225;-63;20;2
ACE;226;-63;21;2
AMO;112;2;15;11
AMO;116;1;20;11
AMO;120;0;25;11
ANT;112;21;1;1
ANT;117;20;5;1
ANT;122;19;10;1
ANT;127;17;15;1
ANT;132;16;20;1
ANT;138;15;25;1
ANT;143;13;30;1
ANT;149;11;5;2
ANT;154;9;10;2
ANT;159;7;15;2
ANT;164;5;20;2
ANT;172;2;28;2
ANT;177;0;5;3
ANT;182;-2;10;3
ANT;187;-4;15;3
ANT;192;-6;20;3
ANT;197;-7;25;3
ANT;202;-9;30;3
ANT;208;-11;5;4
ANT;213;-13;10;4
ANT;218;-15;15;4
ANT;222;-16;20;4
ANT;227;-18;25;4
ANT;232;-19;30;4
ANT;237;-20;5;5
ANT;242;-21;10;5
ANT;247;-22;15;5
ANT;252;-22;20;5
ANT;256;-23;25;5
ANT;262;-23;30;5
ANT;267;-23;5;6
ANT;272;-23;10;6
ANT;276;-23;15;6
ANT;281;-23;20;6
ANT;286;-22;25;6
ANT;291;-21;30;6
ANT;296;-20;5;7
ANT;300;-19;10;7
ANT;305;-18;15;7
ANT;310;-17;20;7
ANT;315;-15;25;7
ANT;319;-14;30;7
ANT;325;-12;5;8
ANT;330;-10;10;8
ANT;335;-8;15;8
ANT;340;-7;20;8
ANT;344;-5;25;8
ANT;349;-3;30;8
ANT;355;-1;5;9
ANT;0;1;10;9
ANT;85;23;5;12
ANT;90;23;10;12
ANT;96;23;15;12
ANT;101;23;20;12
ANT;106;22;25;12
ANT;111;21;30;12
ANT;112;21;31;12
AUR;85;40;25;8
AUR;90;39;30;8
AUR;96;39;5;9
AUR;102;39;10;9
CAP;283;-17;5;5
CAP;285;-16;5;7
CAP;289;-15;10;7
CAP;294;-14;15;7
CAP;299;-12;20;7
CAP;303;-11;25;7
CAP;307;-10;30;7
CAP;313;-8;5;8
CAP;318;-6;10;8
CAP;323;-4;15;8
COM;172;20;12;12
COM;174;19;15;12
COM;177;18;20;12
COM;180;16;25;12
DAU;82;45;10;10
DAU;87;43;15;10
DAU;92;41;20;10
DLM;149;37;5;12
DLM;153;35;10;12
DLM;157;33;15;12
DLM;161;31;20;12
DLM;166;28;25;12
DLM;170;26;30;12
DLM;171;25;31;12
DLM;172;25;1;1
DLM;176;23;5;1
DLM;180;21;10;1
DLM;185;19;15;1
DLM;189;17;20;1
DLM;193;15;25;1
DLM;198;12;30;1
DLM;203;10;5;2
EGE;98;27;14;10
EGE;99;27;15;10
EGE;104;27;20;10
EGE;109;27;25;10
EGE;111;27;27;10
ELY;281;44;5;3
ELY;283;44;5;5
ELY;288;44;10;5
ELY;293;45;15;5
ETA;323;-7;20;4
ETA;328;-4;25;4
ETA;332;-3;30;4
ETA;337;-1;5;5
ETA;341;1;10;5
ETA;345;3;15;5
ETA;349;5;20;5
ETA;353;7;25;5
ETA;354;8;28;5
GEM;103;33;4;12
GEM;103;33;5;12
GEM;108;33;10;12
GEM;113;33;15;12
GEM;118;32;20;12
HYD;120;4;3;12
HYD;122;3;5;12
HYD;126;2;10;12
HYD;130;1;15;12
JBO;222;48;22;6
JBO;223;48;25;6
JBO;225;47;30;6
KCG;282;58;3;8
KCG;283;58;5;8
KCG;284;58;10;8
KCG;285;59;15;8
KCG;286;59;20;8
KCG;288;60;25;8
KCG;289;60;30;8
LEO;144;25;5;11
LEO;147;24;10;11
LEO;150;23;15;11
LEO;153;21;20;11
LEO;156;20;25;11
LEO;159;19;30;11
LMI;157;39;19;10
LMI;158;39;20;10
LMI;163;37;25;10
LMI;168;35;30;10
LYR;263;34;15;4
LYR;269;34;20;4
LYR;274;34;25;4
MON;91;8;30;11
MON;96;8;5;12
MON;100;8;10;12
MON;104;8;15;12
MON;108;8;20;12
NTA;38;18;20;10
NTA;43;19;25;10
NTA;47;20;30;10
NTA;52;21;5;11
NTA;56;22;10;11
NTA;61;23;15;11
NTA;65;24;20;11
NTA;70;24;25;11
NTA;74;24;30;11
NTA;78;24;5;12
NTA;82;24;10;12
ORI;83;14;2;10
ORI;85;14;5;10
ORI;88;15;10;10
ORI;91;15;15;10
ORI;94;16;20;10
ORI;98;16;25;10
ORI;101;16;30;10
ORI;105;17;5;11
ORI;107;18;7;11
PAU;330;-34;15;7
PAU;334;-33;20;7
PAU;338;-31;25;7
PAU;343;-29;30;7
PAU;348;-27;5;8
PAU;352;-26;10;8
PER;6;50;15;7
PER;11;52;20;7
PER;22;53;25;7
PER;29;54;30;7
PER;37;56;5;8
PER;45;57;10;8
PER;51;58;15;8
PER;57;58;20;8
PER;63;58;25;8
PHO;12;-52;28;11
PHO;14;-52;30;11
PHO;18;-53;5;12
PHO;22;-53;10;12
PPU;106;-44;15;4
PPU;109;-45;20;4
PPU;111;-45;25;4
PPU;112;-45;28;4
PUP;120;-45;30;11
PUP;122;-45;5;12
PUP;125;-45;10;12
PUP;128;-45;15;12
QUA;228;50;1;1
QUA;231;49;5;1
QUA;234;48;10;1
QUA;225;51;28;12
QUA;226;50;30;12
QUA;227;50;31;12
SDA;325;-19;10;7
SDA;329;-19;15;7
SDA;333;-18;20;7
SDA;337;-17;25;7
SDA;340;-16;30;7
SDA;345;-14;5;8
SDA;349;-13;10;8
SDA;352;-12;15;8
SDA;356;-11;20;8
SDA;359;-10;23;8
SPE;43;40;5;9
SPE;48;40;10;9
SPE;53;40;15;9
SPE;59;41;20;9
SPE;59;41;21;9
STA;12;3;10;9
STA;15;4;15;9
STA;18;5;20;9
STA;21;6;25;9
STA;25;7;30;9
STA;28;8;5;10
STA;32;9;10;10
STA;36;11;15;10
STA;40;12;20;10
STA;43;13;25;10
STA;47;14;30;10
STA;52;15;5;11
STA;56;15;10;11
STA;60;16;15;11
STA;64;16;20;11
URS;217;77;17;12
URS;217;76;20;12
URS;217;74;25;12
URS;217;74;26;12
