id;IAU_code;name;start;end;peak;RA;DE;V;r;ZHR
2;ANT;Antihelion Source;Dec 10;Sep 10;Jan 01;;;30.0000;3.000;4
26;ORI;Orionids;Oct 02;Nov 07;Oct 22;95.0000;16.0000;66.0000;2.500;15
4;QUA;Quadrantids;Dec 28;Jan 12;Jan 04;230.0000;49.0000;41.0000;2.100;120
1;GUM;γ-Ursae Minorid;Jan 15;Jan 25;Jan 20;229.0000;67.0000;31.0000;3.000;3
5;ACE;α-Centaurids;Jan 28;Feb 21;Feb 08;210.0000;-59.0000;56.0000;2.000;6
6;GNO;γ-Normids;Feb 25;Mar 28;Mar 14;239.0000;-50.0000;56.0000;2.400;6
7;LYR;Lyrids;Apr 16;Apr 25;Apr 22;271.0000;34.0000;49.0000;2.100;18
8;PPU;π-Puppids;Apr 15;Apr 28;Apr 23;110.0000;-45.0000;18.0000;2.000;0
10;ETA;η-Aquariids;Apr 19;May 28;May 05;338.0000;-1.0000;66.0000;2.400;40
11;ELY;η-Lyrids;May 03;May 14;May 08;287.0000;44.0000;43.0000;3.000;3
12;ARI;Daytime Arietids;Apr 14;Jun 24;Jun 07;44.0000;24.0000;38.0000;2.800;50
13;JBO;June Bootids;Jun 22;Jul 02;Jun 27;224.0000;48.0000;18.0000;2.200;
14;PAU;Piscis Austrinids;Jul 15;Aug 10;Jul 28;341.0000;-30.0000;35.0000;3.200;5
15;SDA;Southern δ-Aquariids;Jul 12;Aug 23;Jul 30;340.0000;-16.0000;41.0000;2.500;25
16;CAP;α-Capricornids;Jul 03;Aug 15;Jul 30;307.0000;-10.0000;23.0000;2.500;5
17;PER;Perseids;Jul 17;Aug 24;Aug 12;48.0000;58.0000;59.0000;2.200;150
18;KCG;κ-Cygnids;Aug 03;Aug 25;Aug 17;286.0000;59.0000;25.0000;3.000;3
19;AUR;Aurigids;Aug 28;Sep 05;Aug 31;91.0000;39.0000;66.0000;2.500;6
20;SPE;September ε-Perseids;Sep 05;Sep 21;Sep 09;48.0000;40.0000;64.0000;3.000;5
21;DSX;Daytime Sextantids;Sep 09;Oct 09;Sep 27;152.0000;0.0000;32.0000;2.500;5
44;OCT;October Camelopardalids;Oct 05;Oct 06;Oct 06;164.0000;79.0000;46.0000;2.500;0
22;DRA;Draconids;Oct 06;Oct 10;Oct 08;262.0000;54.0000;20.0000;2.600;
23;STA;Southern Taurids;Sep 10;Nov 20;Oct 10;32.0000;9.0000;27.0000;2.300;5
24;DAU;δ-Aurigids;Oct 10;Oct 18;Oct 11;84.0000;44.0000;64.0000;3.000;2
25;EGE;ε-Geminids;Oct 14;Oct 27;Oct 18;102.0000;27.0000;70.0000;3.000;3
27;LMI;Leonis Minorids;Oct 19;Oct 27;Oct 24;162.0000;37.0000;62.0000;3.000;2
28;NTA;Northern Taurids;Oct 20;Dec 10;Nov 12;58.0000;22.0000;29.0000;2.300;5
29;LEO;Leonids;Nov 06;Nov 30;Nov 17;152.0000;22.0000;71.0000;2.500;15
30;AMO;α-Monocerotids;Nov 15;Nov 25;Nov 21;117.0000;1.0000;65.0000;2.500;
31;NOO;November Orionids;Nov 13;Dec 06;Nov 28;91.0000;16.0000;44.0000;3.000;3
32;PHO;Pheonicids;Nov 28;Dec 09;Dec 02;18.0000;-53.0000;18.0000;2.800;
45;DPC;December φ-Cassiopeids;Dec 01;Dec 08;Dec 06;24.0000;50.0000;16.0000;3.000;0
33;PUP;Puppid-Velids;Dec 01;Dec 15;Dec 07;123.0000;-45.0000;40.0000;2.900;10
34;MON;Monocerotids;Dec 05;Dec 20;Dec 08;100.0000;8.0000;41.0000;3.000;2
35;HYD;σ-Hydrids;Dec 03;Dec 15;Dec 11;127.0000;2.0000;58.0000;3.000;3
36;GEM;Geminids;Dec 04;Dec 17;Dec 11;112.0000;33.0000;35.0000;2.600;120
38;COM;Comae Berenicids;Dec 12;Dec 23;Dec 15;175.0000;18.0000;65.0000;3.000;3
42;DLM;December Leonis Minorids;Dec 05;Feb 04;Dec 20;161.0000;30.0000;64.0000;3.000;5
43;URS;Ursids;Dec 17;Dec 26;Dec 22;217.0000;76.0000;33.0000;3.000;10