UNDERLYING,SYMBOL,23-Aug,23-Sep,23-Oct,23-Dec,24-Mar,24-Jun,24-Dec,25-Jun,25-Dec,26-Jun,26-Dec,27-Jun,27-Dec,28-Jun
NIFTY FINANCIAL SERVICES,FINNIFTY,40,40,40,,,,,,,,,,,           
NIFTY MID SELECT,MIDCPNIFTY,75,75,75,,,,,,,,,,,           
NIFTY BANK,BANKNIFTY,15,15,15,15,15,15,,,,,,,,           
NIFTY 50,NIFTY,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,5400,5400,5400,,,,,,,,,,,           
APOLLO TYRES LTD,APOLLOTYRE,1700,1700,1700,,,,,,,,,,,           
ASTRAL LIMITED,ASTRAL,367,367,367,,,,,,,,,,,           
BANDHAN BANK LIMITED,BANDHANBNK,2500,2500,2500,,,,,,,,,,,           
ACC LIMITED,ACC,300,300,300,,,,,,,,,,,           
AARTI INDUSTRIES LTD,AARTIIND,1000,1000,1000,,,,,,,,,,,           
ADANI ENTERPRISES LIMITED,ADANIENT,300,300,300,,,,,,,,,,,           
ABB INDIA LIMITED,ABB,250,250,250,,,,,,,,,,,           
ABBOTT INDIA LIMITED,ABBOTINDIA,40,40,40,,,,,,,,,,,           
ADITYA BIRLA FASHION & RT,ABFRL,2600,2600,2600,,,,,,,,,,,           
ADANI PORT & SEZ LTD,ADANIPORTS,800,800,800,,,,,,,,,,,           
ALKEM LABORATORIES LTD.,ALKEM,200,200,200,,,,,,,,,,,           
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,125,125,125,,,,,,,,,,,           
ATUL LTD,ATUL,75,75,75,,,,,,,,,,,           
AU SMALL FINANCE BANK LTD,AUBANK,1000,1000,1000,,,,,,,,,,,           
AUROBINDO PHARMA LTD,AUROPHARMA,1100,1100,1100,,,,,,,,,,,           
AXIS BANK LIMITED,AXISBANK,625,625,625,,,,,,,,,,,           
ASHOK LEYLAND LTD,ASHOKLEY,5000,5000,5000,,,,,,,,,,,           
BAJAJ FINSERV LTD.,BAJAJFINSV,500,500,500,,,,,,,,,,,           
AMBUJA CEMENTS LTD,AMBUJACEM,1800,1800,1800,,,,,,,,,,,           
BAJAJ FINANCE LIMITED,BAJFINANCE,125,125,125,,,,,,,,,,,           
BHARAT ELECTRONICS LTD,BEL,5700,5700,5700,,,,,,,,,,,           
BALKRISHNA IND. LTD,BALKRISIND,300,300,300,,,,,,,,,,,           
BATA INDIA LTD,BATAINDIA,375,375,375,,,,,,,,,,,           
BERGER PAINTS (I) LTD,BERGEPAINT,1100,1100,1100,,,,,,,,,,,           
BHARAT FORGE LTD,BHARATFORG,1000,1000,1000,,,,,,,,,,,           
BHEL,BHEL,10500,10500,10500,,,,,,,,,,,           
BRITANNIA INDUSTRIES LTD,BRITANNIA,200,200,200,,,,,,,,,,,           
BIRLASOFT LIMITED,BSOFT,2000,2000,2000,,,,,,,,,,,           
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,1250,1250,1250,,,,,,,,,,,           
COAL INDIA LTD,COALINDIA,4200,4200,4200,,,,,,,,,,,           
COFORGE LIMITED,COFORGE,150,150,150,,,,,,,,,,,           
COLGATE PALMOLIVE LTD.,COLPAL,350,350,350,,,,,,,,,,,           
COROMANDEL INTERNTL. LTD,COROMANDEL,700,700,700,,,,,,,,,,,           
CROMPT GREA CON ELEC LTD,CROMPTON,1800,1800,1800,,,,,,,,,,,           
CITY UNION BANK LTD,CUB,5000,5000,5000,,,,,,,,,,,           
CUMMINS INDIA LTD,CUMMINSIND,600,600,600,,,,,,,,,,,           
ASIAN PAINTS LIMITED,ASIANPAINT,200,200,200,,,,,,,,,,,           
DABUR INDIA LTD,DABUR,1250,1250,1250,,,,,,,,,,,           
DALMIA BHARAT LIMITED,DALBHARAT,500,500,500,,,,,,,,,,,           
DELTA CORP LIMITED,DELTACORP,2800,2800,2800,,,,,,,,,,,           
DIVI S LABORATORIES LTD,DIVISLAB,200,200,200,,,,,,,,,,,           
DIXON TECHNO (INDIA) LTD,DIXON,200,200,200,,,,,,,,,,,           
DLF LIMITED,DLF,1650,1650,1650,,,,,,,,,,,           
DR. REDDY S LABORATORIES,DRREDDY,125,125,125,,,,,,,,,,,           
EICHER MOTORS LTD,EICHERMOT,175,175,175,,,,,,,,,,,           
ESCORTS KUBOTA LIMITED,ESCORTS,275,275,275,,,,,,,,,,,           
EXIDE INDUSTRIES LTD,EXIDEIND,3600,3600,3600,,,,,,,,,,,           
FEDERAL BANK LTD,FEDERALBNK,5000,5000,5000,,,,,,,,,,,           
GAIL (INDIA) LTD,GAIL,9150,9150,9150,,,,,,,,,,,           
GLENMARK PHARMACEUTICALS,GLENMARK,1450,1450,1450,,,,,,,,,,,           
GUJ NAR VAL FER & CHEM L,GNFC,1300,1300,1300,,,,,,,,,,,           
GODREJ CONSUMER PRODUCTS,GODREJCP,1000,1000,1000,,,,,,,,,,,           
GODREJ PROPERTIES LTD,GODREJPROP,475,475,475,,,,,,,,,,,           
GRASIM INDUSTRIES LTD,GRASIM,475,475,475,,,,,,,,,,,           
BAJAJ AUTO LIMITED,BAJAJ-AUTO,250,250,250,,,,,,,,,,,           
GUJARAT GAS LIMITED,GUJGASLTD,1250,1250,1250,,,,,,,,,,,           
HAVELLS INDIA LIMITED,HAVELLS,500,500,500,,,,,,,,,,,           
HCL TECHNOLOGIES LTD,HCLTECH,700,700,700,,,,,,,,,,,           
BHARAT PETROLEUM CORP  LT,BPCL,1800,1800,1800,,,,,,,,,,,           
HDFC BANK LTD,HDFCBANK,550,550,550,,,,,,,,,,,           
HDFC LIFE INS CO LTD,HDFCLIFE,1100,1100,1100,,,,,,,,,,,           
HINDALCO  INDUSTRIES  LTD,HINDALCO,1400,1400,1400,,,,,,,,,,,           
HINDUSTAN COPPER LTD,HINDCOPPER,5300,5300,5300,,,,,,,,,,,           
HINDUSTAN UNILEVER LTD.,HINDUNILVR,300,300,300,,,,,,,,,,,           
ICICI BANK LTD.,ICICIBANK,700,700,700,,,,,,,,,,,           
ICICI LOMBARD GIC LIMITED,ICICIGI,500,500,500,,,,,,,,,,,           
ICICI PRU LIFE INS CO LTD,ICICIPRULI,1500,1500,1500,,,,,,,,,,,           
IDFC LIMITED,IDFC,10000,10000,10000,,,,,,,,,,,           
IDFC FIRST BANK LIMITED,IDFCFIRSTB,15000,15000,15000,,,,,,,,,,,           
THE INDIAN HOTELS CO. LTD,INDHOTEL,2000,2000,2000,,,,,,,,,,,           
THE INDIA CEMENTS LIMITED,INDIACEM,2900,2900,2900,,,,,,,,,,,           
INTERGLOBE AVIATION LTD,INDIGO,300,300,300,,,,,,,,,,,           
INDUS TOWERS LIMITED,INDUSTOWER,3400,3400,3400,,,,,,,,,,,           
INFOSYS LIMITED,INFY,400,400,400,,,,,,,,,,,           
INDIAN OIL CORP LTD,IOC,9750,9750,9750,,,,,,,,,,,           
INDIAN RAIL TOUR CORP LTD,IRCTC,875,875,875,,,,,,,,,,,           
JINDAL STEEL & POWER LTD,JINDALSTEL,1250,1250,1250,,,,,,,,,,,           
JK CEMENT LIMITED,JKCEMENT,250,250,250,,,,,,,,,,,           
JUBILANT FOODWORKS LTD,JUBLFOOD,1250,1250,1250,,,,,,,,,,,           
KOTAK MAHINDRA BANK LTD,KOTAKBANK,400,400,400,,,,,,,,,,,           
LIC HOUSING FINANCE LTD,LICHSGFIN,2000,2000,2000,,,,,,,,,,,           
LARSEN & TOUBRO LTD.,LT,300,300,300,,,,,,,,,,,           
LTIMINDTREE LIMITED,LTIM,150,150,150,,,,,,,,,,,           
L&T TECHNOLOGY SER. LTD.,LTTS,200,200,200,,,,,,,,,,,           
MARICO LIMITED,MARICO,1200,1200,1200,,,,,,,,,,,           
MARUTI SUZUKI INDIA LTD.,MARUTI,100,100,100,,,,,,,,,,,           
UNITED SPIRITS LIMITED,MCDOWELL-N,700,700,700,,,,,,,,,,,           
MULTI COMMODITY EXCHANGE,MCX,400,400,400,,,,,,,,,,,           
METROPOLIS HEALTHCARE LTD,METROPOLIS,400,400,400,,,,,,,,,,,           
MAX FINANCIAL SERV LTD,MFSL,800,800,800,,,,,,,,,,,           
MAHANAGAR GAS LTD.,MGL,800,800,800,,,,,,,,,,,           
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,7100,7100,7100,,,,,,,,,,,           
MRF LTD,MRF,10,10,10,,,,,,,,,,,           
NATIONAL ALUMINIUM CO LTD,NATIONALUM,7500,7500,7500,,,,,,,,,,,           
BANK OF BARODA,BANKBARODA,5850,5850,5850,,,,,,,,,,,           
INFO EDGE (I) LTD,NAUKRI,150,150,150,,,,,,,,,,,           
NESTLE INDIA LIMITED,NESTLEIND,40,40,40,,,,,,,,,,,           
NMDC LTD.,NMDC,4500,4500,4500,,,,,,,,,,,           
CAN FIN HOMES LTD,CANFINHOME,975,975,975,,,,,,,,,,,           
OBEROI REALTY LIMITED,OBEROIRLTY,700,700,700,,,,,,,,,,,           
ORACLE FIN SERV SOFT LTD.,OFSS,200,200,200,,,,,,,,,,,           
OIL AND NATURAL GAS CORP.,ONGC,3850,3850,3850,,,,,,,,,,,           
PAGE INDUSTRIES LTD,PAGEIND,15,15,15,,,,,,,,,,,           
INDIAMART INTERMESH LTD,INDIAMART,300,300,300,,,,,,,,,,,           
PERSISTENT SYSTEMS LTD,PERSISTENT,175,175,175,,,,,,,,,,,           
PIDILITE INDUSTRIES LTD,PIDILITIND,250,250,250,,,,,,,,,,,           
PI INDUSTRIES LTD,PIIND,250,250,250,,,,,,,,,,,           
PVR INOX LIMITED,PVRINOX,407,407,407,,,,,,,,,,,           
RELIANCE INDUSTRIES LTD,RELIANCE,250,250,250,,,,,,,,,,,           
SBI CARDS & PAY SER LTD,SBICARD,800,800,800,,,,,,,,,,,           
SBI LIFE INSURANCE CO LTD,SBILIFE,750,750,750,,,,,,,,,,,           
STATE BANK OF INDIA,SBIN,1500,1500,1500,,,,,,,,,,,           
SHREE CEMENT LIMITED,SHREECEM,25,25,25,,,,,,,,,,,           
SRF LTD,SRF,375,375,375,,,,,,,,,,,           
SUN PHARMACEUTICAL IND L,SUNPHARMA,700,700,700,,,,,,,,,,,           
SUN TV NETWORK LIMITED,SUNTV,1500,1500,1500,,,,,,,,,,,           
TATA CHEMICALS LTD,TATACHEM,550,550,550,,,,,,,,,,,           
CIPLA LTD,CIPLA,650,650,650,,,,,,,,,,,           
TATA COMMUNICATIONS LTD,TATACOMM,500,500,500,,,,,,,,,,,           
TATA CONSUMER PRODUCT LTD,TATACONSUM,900,900,900,,,,,,,,,,,           
DEEPAK NITRITE LTD,DEEPAKNTR,300,300,300,,,,,,,,,,,           
HINDUSTAN AERONAUTICS LTD,HAL,300,300,300,,,,,,,,,,,           
TATA MOTORS LIMITED,TATAMOTORS,1425,1425,1425,,,,,,,,,,,           
TATA POWER CO LTD,TATAPOWER,3375,3375,3375,,,,,,,,,,,           
TATA CONSULTANCY SERV LT,TCS,175,175,175,,,,,,,,,,,           
TITAN COMPANY LIMITED,TITAN,375,375,375,,,,,,,,,,,           
BHARTI AIRTEL LIMITED,BHARTIARTL,950,950,950,,,,,,,,,,,           
TRENT LTD,TRENT,400,400,400,,,,,,,,,,,           
TVS MOTOR COMPANY  LTD,TVSMOTOR,700,700,700,,,,,,,,,,,           
UNITED BREWERIES LTD,UBL,400,400,400,,,,,,,,,,,           
ULTRATECH CEMENT LIMITED,ULTRACEMCO,100,100,100,,,,,,,,,,,           
UPL LIMITED,UPL,1300,1300,1300,,,,,,,,,,,           
BIOCON LIMITED.,BIOCON,2500,2500,2500,,,,,,,,,,,           
WIPRO LTD,WIPRO,1500,1500,1500,,,,,,,,,,,           
BOSCH LIMITED,BOSCHLTD,50,50,50,,,,,,,,,,,           
ZEE ENTERTAINMENT ENT LTD,ZEEL,3000,3000,3000,,,,,,,,,,,           
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,1800,1800,1800,,,,,,,,,,,           
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,1900,1900,1900,,,,,,,,,,,           
GRANULES INDIA LIMITED,GRANULES,2000,2000,2000,,,,,,,,,,,           
HDFC AMC LIMITED,HDFCAMC,300,300,300,,,,,,,,,,,           
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,1600,1600,1600,,,,,,,,,,,           
HERO MOTOCORP LIMITED,HEROMOTOCO,300,300,300,,,,,,,,,,,           
HINDUSTAN PETROLEUM CORP,HINDPETRO,2700,2700,2700,,,,,,,,,,,           
INDIABULLS HSG FIN LTD,IBULHSGFIN,5100,5100,5100,,,,,,,,,,,           
GMR AIRPORTS INFRA LTD,GMRINFRA,22500,22500,22500,,,,,,,,,,,           
INDUSIND BANK LIMITED,INDUSINDBK,500,500,500,,,,,,,,,,,           
L&T FINANCE HOLDINGS LTD,L&TFH,8924,8924,8924,,,,,,,,,,,           
DR. LAL PATH LABS LTD.,LALPATHLAB,300,300,300,,,,,,,,,,,           
LUPIN LIMITED,LUPIN,850,850,850,,,,,,,,,,,           
MAHINDRA & MAHINDRA LTD,M&M,700,700,700,,,,,,,,,,,           
MANAPPURAM FINANCE LTD,MANAPPURAM,6000,6000,6000,,,,,,,,,,,           
POLYCAB INDIA LIMITED,POLYCAB,300,300,300,,,,,,,,,,,           
POWER GRID CORP. LTD.,POWERGRID,2700,2700,2700,,,,,,,,,,,           
THE RAMCO CEMENTS LIMITED,RAMCOCEM,850,850,850,,,,,,,,,,,           
RBL BANK LIMITED,RBLBANK,5000,5000,5000,,,,,,,,,,,           
IPCA LABORATORIES LTD,IPCALAB,650,650,650,,,,,,,,,,,           
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,600,600,600,,,,,,,,,,,           
SYNGENE INTERNATIONAL LTD,SYNGENE,1000,1000,1000,,,,,,,,,,,           
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,550,550,550,,,,,,,,,,,           
NAVIN FLUORINE INT. LTD,NAVINFLUOR,150,150,150,,,,,,,,,,,           
NTPC LTD,NTPC,3000,3000,3000,,,,,,,,,,,           
PETRONET LNG LIMITED,PETRONET,3000,3000,3000,,,,,,,,,,,           
PUNJAB NATIONAL BANK,PNB,16000,16000,16000,,,,,,,,,,,           
REC LIMITED,RECLTD,8000,8000,8000,,,,,,,,,,,           
VEDANTA LIMITED,VEDL,2000,2000,2000,,,,,,,,,,,           
STEEL AUTHORITY OF INDIA,SAIL,8000,8000,8000,,,,,,,,,,,           
VOLTAS LTD,VOLTAS,600,600,600,,,,,,,,,,,           
M&M FIN. SERVICES LTD,M&MFIN,4000,4000,4000,,,,,,,,,,,           
CANARA BANK,CANBK,2700,2700,2700,,,,,,,,,,,           
INDRAPRASTHA GAS LTD,IGL,1375,1375,1375,,,,,,,,,,,           
INDIAN ENERGY EXC LTD,IEX,3750,3750,3750,,,,,,,,,,,           
ITC LTD,ITC,1600,1600,1600,,,,,,,,,,,           
JSW STEEL LIMITED,JSWSTEEL,1350,1350,1350,,,,,,,,,,,           
PIRAMAL ENTERPRISES LTD,PEL,750,750,750,,,,,,,,,,,           
POWER FIN CORP LTD.,PFC,6200,6200,6200,,,,,,,,,,,           
TATA STEEL LIMITED,TATASTEEL,5500,5500,5500,,,,,,,,,,,           
MPHASIS LIMITED,MPHASIS,275,275,275,,,,,,,,,,,           
LAURUS LABS LIMITED,LAURUSLABS,1700,1700,1700,,,,,,,,,,,           
SIEMENS LTD,SIEMENS,275,275,275,,,,,,,,,,,           
TORRENT PHARMACEUTICALS L,TORNTPHARM,500,500,500,,,,,,,,,,,           
CONTAINER CORP OF IND LTD,CONCOR,1000,1000,1000,,,,,,,,,,,           
VODAFONE IDEA LIMITED,IDEA,80000,80000,80000,,,,,,,,,,,           
TECH MAHINDRA LIMITED,TECHM,600,600,600,,,,,,,,,,,           
